# SignalUncertainties for simplified model based on squark production followed
# by direct decays into q+neutralino_1
SAMPLE    FS        CROSSSECTION[pb]           K-Factor  FILTEREFF REL.UNCERT
370700    4         518.15374755859375         1         1         0.145570620894
370701    4         14.80424690246582          1         1         0.136969178915
370702    4         14.80424690246582          1         1         0.136969178915
370703    4         10.569883346557617         1         1         0.13842253387
370704    4         14.80424690246582          1         1         0.136969178915
370705    4         14.80424690246582          1         1         0.136969178915
370706    4         4.1992330551147461         1         1         0.13418276608
370707    4         4.1992330551147461         1         1         0.13418276608
370708    4         4.1992330551147461         1         1         0.13418276608
370709    4         1.4153077602386475         1         1         0.130873173475
370710    4         1.4153077602386475         1         1         0.130873173475
370711    4         1.4153077602386475         1         1         0.130873173475
370712    4         1.4153077602386475         1         1         0.130873173475
370713    4         1.4153077602386475         1         1         0.130873173475
370714    4         0.2307170033454895         1         1         0.141148537397
370715    4         0.2307170033454895         1         1         0.141148537397
370716    4         0.2307170033454895         1         1         0.141148537397
370717    4         0.2307170033454895         1         1         0.141148537397
370718    4         0.10474482923746109        1         1         0.150806084275
370719    4         0.10474482923746109        1         1         0.150806084275
370720    4         0.10474482923746109        1         1         0.150806084275
370721    4         0.10474482923746109        1         1         0.150806084275
370722    4         0.10474482923746109        1         1         0.150806084275
370723    4         0.2307170033454895         1         1         0.141148537397
370724    4         0.2307170033454895         1         1         0.141148537397
370725    4         0.2307170033454895         1         1         0.141148537397
370726    4         0.10474482923746109        1         1         0.150806084275
370727    4         0.10474482923746109        1         1         0.150806084275
370728    4         0.049951273947954178       1         1         0.16219522059
370729    4         0.049951273947954178       1         1         0.16219522059
370730    4         0.049951273947954178       1         1         0.16219522059
370731    4         0.049951273947954178       1         1         0.16219522059
370732    4         0.025069791823625565       1         1         0.172245055437
370733    4         0.025069791823625565       1         1         0.172245055437
370734    4         0.025069791823625565       1         1         0.172245055437
370735    4         0.025069791823625565       1         1         0.172245055437
370736    4         0.049951273947954178       1         1         0.16219522059
370737    4         0.049951273947954178       1         1         0.16219522059
370738    4         0.049951273947954178       1         1         0.16219522059
370739    4         0.025069791823625565       1         1         0.172245055437
370740    4         0.025069791823625565       1         1         0.172245055437
370741    4         0.025069791823625565       1         1         0.172245055437
370742    4         0.013027645647525787       1         1         0.184017181396
370743    4         0.013027645647525787       1         1         0.184017181396
370744    4         0.013027645647525787       1         1         0.184017181396
370745    4         0.013027645647525787       1         1         0.184017181396
