# author : tripiana@cern.ch (please report any problems)
# date   : 03/08/2015
# notes  : it assumes that g = g_q = g_chi = 1 .  For a proper rescaling look at Sec 2.5.3 of the DM Forum report (https://twiki.cern.ch/twiki/pub/AtlasProtected/HeavyQuarkDMRun2/doc_1.pdf)
#          Pre-computed values for different settings are also available at https://twiki.cern.ch/twiki/bin/view/AtlasProtected/BBPhiValidation  (P.Pani)
#
DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
303136   0        6.545            1.0          0.063842    3.316e-03         
303137   0        4.96             1.0          0.096401    3.492e-03         
303138   0        1.973            1.0          0.17878     3.397e-03         
303139   0        0.5393           1.0          0.28683     3.495e-03         
303140   0        0.08604          1.0          0.41821     3.495e-03         
303141   0        0.02258          1.0          0.50251     3.513e-03         
303142   0        0.002021         1.0          0.58929     2.796e-03         
303143   0        5.881e-05        1.0          0.65211     3.487e-03         
303144   0        1.718e-08        1.0          0.50753     5.914e-03         
303145   0        3.813e-10        1.0          0.79984     3.724e-03         
303146   0        5.449e-10        1.0          0.79334     3.518e-03         
303147   0        8.898e-11        1.0          0.81108     2.902e-03         
303148   0        0.0608           1.0          0.17625     3.872e-03         
303149   0        0.07537          1.0          0.16728     4.246e-03         
303150   0        1.979            1.0          0.17882     3.002e-03         
303151   0        0.5385           1.0          0.28794     3.331e-03         
303152   0        0.00161          1.0          0.39603     3.552e-03         
303153   0        0.001992         1.0          0.39146     3.473e-03         
303154   0        0.005591         1.0          0.35519     3.738e-03         
303155   0        0.08618          1.0          0.42377     3.292e-03         
303156   0        0.02242          1.0          0.51385     3.649e-03         
303157   0        6.803e-08        1.0          0.73615     4.028e-03         
303158   0        9.355e-08        1.0          0.73989     3.807e-03         
303159   0        8.124e-07        1.0          0.72361     3.730e-03         
303160   0        3.3e-05          1.0          0.58821     3.436e-03         
303161   0        5.476e-05        1.0          0.57563     3.979e-03         
303162   0        0.0002212        1.0          0.54976     3.507e-03         
303163   0        0.001414         1.0          0.60816     3.982e-03         
303164   0        6.373e-09        1.0          0.66772     5.175e-03         
