# author : dbogavac@cern.ch (please report any problems)
# date   : 04/04/2016
## format : datasetID   finalState   XS(pb)   K-factor   filterEff   relUncertainty
373300     2     1.4891046285629272         1     1     0.150167047977
373301     2     1.4891046285629272         1     1     0.150167047977
373302     2     1.4891046285629272         1     1     0.150167047977
373303     2     1.4891046285629272         1     1     0.150167047977
373304     2     0.3253876864910126         1     1     0.167580008507
373305     2     0.3253876864910126         1     1     0.167580008507
373306     2     0.3253876864910126         1     1     0.167580008507
373307     2     0.3253876864910126         1     1     0.167580008507
373308     2     0.08564179390668869        1     1     0.18481425941
373309     2     0.08564179390668869        1     1     0.18481425941
373310     2     0.08564179390668869        1     1     0.18481425941
373311     2     0.08564179390668869        1     1     0.18481425941
373312     2     0.02526012621819973        1     1     0.210963279009
373313     2     0.02526012621819973        1     1     0.210963279009
373314     2     0.02526012621819973        1     1     0.210963279009
373315     2     0.02526012621819973        1     1     0.210963279009
373316     2     0.008089760318398476       1     1     0.244372189045
373317     2     0.008089760318398476       1     1     0.244372189045
373318     2     0.008089760318398476       1     1     0.244372189045
373319     2     0.008089760318398476       1     1     0.244372189045
373320     2     0.0027583648916333914      1     1     0.282457530499
373321     2     0.0027583648916333914      1     1     0.282457530499
373322     2     0.0027583648916333914      1     1     0.282457530499
373323     2     0.0027583648916333914      1     1     0.282457530499
373324     2     0.0009802603162825108      1     1     0.319521099329
373325     2     0.0009802603162825108      1     1     0.319521099329
373326     2     0.0009802603162825108      1     1     0.319521099329
373327     2     0.0009802603162825108      1     1     0.319521099329
373328     2     0.0003590692     1     1     0.36056504
373329     2     0.0003590692     1     1     0.36056504
373330     2     0.0003590692     1     1     0.36056504
373331     2     0.0003590692     1     1     0.36056504
373332     2     0.0003590692     1     1     0.36056504
373333     2     0.0003590692     1     1     0.36056504
373334     2     0.0001338845     1     1     0.40878758
373335     2     0.0001338845     1     1     0.40878758
373336     2     0.0001338845     1     1     0.40878758
373337     2     0.0001338845     1     1     0.40878758
373338     2     0.0001338845     1     1     0.40878758
373339     2     0.0001338845     1     1     0.40878758
373340     2     0.0000502847     1     1     0.45722019
373341     2     0.0000502847     1     1     0.45722019
373342     2     0.0000502847     1     1     0.45722019
373343     2     0.0000502847     1     1     0.45722019
373344     2     0.0000502847     1     1     0.45722019
373345     2     0.0000502847     1     1     0.45722019
373346     2     0.0000502847     1     1     0.45722019
